file,folder,relpath,date,material,sample,zone,site,kind,rep,label,run,PL_WS2_peak_eV,PL_WS2_peak_nm,PL_WS2_Imax,PL_WS2_fwhm_meV,label_parsed,label_vs_fit_diff,Si_pos_raw,calib_shift,WS2_2LA_E2g_raw,WS2_2LA_E2g_cal,WS2_2LA_E2g_fwhm,WS2_2LA_E2g_height,WS2_A1g_raw,WS2_A1g_cal,WS2_A1g_fwhm,WS2_A1g_height,WS2_I2LA_over_IA1g,PL_MoS2_peak_eV,PL_MoS2_peak_nm,PL_MoS2_Imax,PL_MoS2_fwhm_meV,MoS2_E2g_raw,MoS2_E2g_cal,MoS2_E2g_fwhm,MoS2_E2g_height,MoS2_A1g_raw,MoS2_A1g_cal,MoS2_A1g_fwhm,MoS2_A1g_height,MoS2_delta,MoS2_layers_est,MoS2_A1g_over_Si
260410 MoS2-WS2 #1 Z1-1 Raman.txt,"260414 [MoS2, MoS2-WS2] 지상","260414 [MoS2, MoS2-WS2] 지상\260410 MoS2-WS2 #1 Z1-1 Raman.txt",260410,MoS2-WS2,1,Z1,1,Raman,1,,260410 MoS2-WS2 #1,,,,,,,520.361,0.339,353.733,354.072,18.959,53571.828,417.685,418.023,15.299,4410.957,12.145,,,,,,,,,,,,,,,
260410 MoS2-WS2 #1 Z2-1 PL.txt,"260414 [MoS2, MoS2-WS2] 지상","260414 [MoS2, MoS2-WS2] 지상\260410 MoS2-WS2 #1 Z2-1 PL.txt",260410,MoS2-WS2,1,Z2,1,PL,1,,260410 MoS2-WS2 #1,2.003,618.951,21252.79,59.738,,,,,,,,,,,,,,2.003,618.951,21252.79,,,,,,,,,,,,
260413 MoS2 #1 Z1-2 Raman (x).txt,"260414 [MoS2, MoS2-WS2] 지상","260414 [MoS2, MoS2-WS2] 지상\260413 MoS2 #1 Z1-2 Raman (x).txt",260413,MoS2,1,Z1,2,Raman,1,x,260413 MoS2 #1,,,,,no-peak,,520.391,0.309,,,,,,,,,,,,,,,,,,410.765,411.074,8.839,82.409,,,0.004
260413 MoS2 #1 Z2-1 Raman (~x).txt,"260414 [MoS2, MoS2-WS2] 지상","260414 [MoS2, MoS2-WS2] 지상\260413 MoS2 #1 Z2-1 Raman (~x).txt",260413,MoS2,1,Z2,1,Raman,1,~x,260413 MoS2 #1,,,,,no-peak,,520.485,0.215,,,,,,,,,,,,,,384.966,385.18,11.423,72.869,406.138,406.353,9.176,177.049,21.173,1-2L,0.055
260413 MoS2 #1 Z2-2 PL.txt,"260414 [MoS2, MoS2-WS2] 지상","260414 [MoS2, MoS2-WS2] 지상\260413 MoS2 #1 Z2-2 PL.txt",260413,MoS2,1,Z2,2,PL,1,,260413 MoS2 #1,,,,,,,,,,,,,,,,,,1.876,660.885,8700.532,71.062,,,,,,,,,,,
260413 MoS2 #1 Z2-2 Raman.txt,"260414 [MoS2, MoS2-WS2] 지상","260414 [MoS2, MoS2-WS2] 지상\260413 MoS2 #1 Z2-2 Raman.txt",260413,MoS2,1,Z2,2,Raman,1,,260413 MoS2 #1,,,,,,,520.394,0.306,,,,,,,,,,,,,,384.373,384.679,10.385,965.467,405.434,405.74,11.224,2879.036,21.061,1-2L,0.237
260413 MoS2 #2 Z2-1 PL (~x).txt,"260414 [MoS2, MoS2-WS2] 지상","260414 [MoS2, MoS2-WS2] 지상\260413 MoS2 #2 Z2-1 PL (~x).txt",260413,MoS2,2,Z2,1,PL,1,~x,260413 MoS2 #2,,,,,no-peak,,,,,,,,,,,,,1.89,655.906,181.616,71.47,,,,,,,,,,,
260413 MoS2 #2 Z2-3 PL.txt,"260414 [MoS2, MoS2-WS2] 지상","260414 [MoS2, MoS2-WS2] 지상\260413 MoS2 #2 Z2-3 PL.txt",260413,MoS2,2,Z2,3,PL,1,,260413 MoS2 #2,,,,,,,,,,,,,,,,,,1.883,658.481,9693.093,70.938,,,,,,,,,,,
260413 MoS2 #2 Z2-3 Raman.txt,"260414 [MoS2, MoS2-WS2] 지상","260414 [MoS2, MoS2-WS2] 지상\260413 MoS2 #2 Z2-3 Raman.txt",260413,MoS2,2,Z2,3,Raman,1,,260413 MoS2 #2,,,,,,,520.474,0.226,,,,,,,,,,,,,,384.959,385.185,10.522,279.991,405.325,405.551,10.975,823.517,20.367,1-2L,0.337
260414 MoS2 #1 Z2-2 PL.txt,"260414 [MoS2, MoS2-WS2] 지상","260414 [MoS2, MoS2-WS2] 지상\260414 MoS2 #1 Z2-2 PL.txt",260414,MoS2,1,Z2,2,PL,1,,260414 MoS2 #1,,,,,,,,,,,,,,,,,,1.865,664.94,11925.705,68.686,,,,,,,,,,,
260414 MoS2 #1 Z2-2 Raman.txt,"260414 [MoS2, MoS2-WS2] 지상","260414 [MoS2, MoS2-WS2] 지상\260414 MoS2 #1 Z2-2 Raman.txt",260414,MoS2,1,Z2,2,Raman,1,,260414 MoS2 #1,,,,,,,520.463,0.237,,,,,,,,,,,,,,384.3,384.537,8.642,280.482,405.042,405.279,10.645,843.045,20.742,1-2L,0.319
260410 MoS2-WS2 #1 Z2-1 PL.txt,260420 지상,260420 지상\260410 MoS2-WS2 #1 Z2-1 PL.txt,260410,MoS2-WS2,1,Z2,1,PL,1,,260410 MoS2-WS2 #1,2.001,619.496,14019.366,59.501,,,,,,,,,,,,,,2.001,619.496,14019.366,,,,,,,,,,,,
260410 MoS2-WS2 #1 Z2-1 Raman.txt,260420 지상,260420 지상\260410 MoS2-WS2 #1 Z2-1 Raman.txt,260410,MoS2-WS2,1,Z2,1,Raman,1,,260410 MoS2-WS2 #1,,,,,,,523.832,-3.132,357.63,354.498,19.222,16651.744,421.775,418.644,10.521,1211.737,13.742,,,,,,,,,408.436,405.305,6.607,141.704,,,0.01
260414 MoS2 #1 Z3-1 PL.txt,260420 지상,260420 지상\260414 MoS2 #1 Z3-1 PL.txt,260414,MoS2,1,Z3,1,PL,1,,260414 MoS2 #1,,,,,,,,,,,,,,,,,,1.876,661.036,22273.483,63.517,,,,,,,,,,,
260414 MoS2 #1 Z3-1 Raman.txt,260420 지상,260420 지상\260414 MoS2 #1 Z3-1 Raman.txt,260414,MoS2,1,Z3,1,Raman,1,,260414 MoS2 #1,,,,,,,523.938,-3.238,,,,,,,,,,,,,,388.377,385.139,10.214,1280.612,409.118,405.881,10.746,3239.958,20.742,1-2L,0.259
260414 MoS2-WS2 #2 Z2-1 PL.txt,260420 지상,260420 지상\260414 MoS2-WS2 #2 Z2-1 PL.txt,260414,MoS2-WS2,2,Z2,1,PL,1,,260414 MoS2-WS2 #2,1.887,657.029,15341.803,,,,,,,,,,,,,,,1.887,657.029,15341.803,71.875,,,,,,,,,,,
260414 MoS2-WS2 #2 Z2-1 Raman.txt,260420 지상,260420 지상\260414 MoS2-WS2 #2 Z2-1 Raman.txt,260414,MoS2-WS2,2,Z2,1,Raman,1,,260414 MoS2-WS2 #2,,,,,,,523.764,-3.064,354.648,351.585,16.755,1066.613,409.67,406.607,6.716,1780.489,0.599,,,,,388.144,385.08,11.393,1204.182,409.443,406.379,9.748,3000.648,21.299,1-2L,0.355
