file,folder,relpath,date,material,sample,zone,site,kind,rep,label,run,PL_WS2_peak_eV,PL_WS2_peak_nm,PL_WS2_Imax,PL_WS2_fwhm_meV,label_parsed,label_vs_fit_diff,Si_pos_raw,calib_shift,WS2_2LA_E2g_raw,WS2_2LA_E2g_cal,WS2_2LA_E2g_fwhm,WS2_2LA_E2g_height,WS2_A1g_raw,WS2_A1g_cal,WS2_A1g_fwhm,WS2_A1g_height,WS2_I2LA_over_IA1g,PL_MoS2_peak_eV,PL_MoS2_peak_nm,PL_MoS2_Imax,PL_MoS2_fwhm_meV,MoS2_E2g_raw,MoS2_E2g_cal,MoS2_E2g_fwhm,MoS2_E2g_height,MoS2_A1g_raw,MoS2_A1g_cal,MoS2_A1g_fwhm,MoS2_A1g_height,MoS2_delta,MoS2_layers_est,MoS2_A1g_over_Si
260225 MoS2 #1 Z1-2_PL.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #1 Z1-2_PL.txt,260225,MoS2,1,Z1,2,PL,1,,260225 MoS2 #1,,,,,,,,,,,,,,,,,,1.931,642.131,1243.575,90.161,,,,,,,,,,,
260225 MoS2 #1 Z2-1_PL.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #1 Z2-1_PL.txt,260225,MoS2,1,Z2,1,PL,1,,260225 MoS2 #1,,,,,,,,,,,,,,,,,,1.93,642.318,36282.223,81.219,,,,,,,,,,,
260225 MoS2 #1 Z2-1_Raman.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #1 Z2-1_Raman.txt,260225,MoS2,1,Z2,1,Raman,1,,260225 MoS2 #1,,,,,,,518.921,1.779,,,,,,,,,,,,,,383.903,385.683,5.516,91.701,403.806,405.585,7.406,317.687,19.903,1-2L,0.213
260225 MoS2 #1 Z2-2_PL.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #1 Z2-2_PL.txt,260225,MoS2,1,Z2,2,PL,1,,260225 MoS2 #1,,,,,,,,,,,,,,,,,,1.931,642.131,48744.444,82.963,,,,,,,,,,,
260225 MoS2 #1 Z2-2_Raman.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #1 Z2-2_Raman.txt,260225,MoS2,1,Z2,2,Raman,1,,260225 MoS2 #1,,,,,,,518.71,1.99,,,,,,,,,,,,,,384.212,386.201,5.552,76.209,403.546,405.536,7.37,256.237,19.334,1L,0.338
260225 MoS2 #2 Z1-1_PL.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #2 Z1-1_PL.txt,260225,MoS2,2,Z1,1,PL,1,,260225 MoS2 #2,,,,,,,,,,,,,,,,,,1.924,644.383,137.277,182.802,,,,,,,,,,,
260225 MoS2 #2 Z1-1_Raman.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #2 Z1-1_Raman.txt,260225,MoS2,2,Z1,1,Raman,1,,260225 MoS2 #2,,,,,,,518.856,1.844,,,,,,,,,,,,,,,,,,409.999,411.843,24.34,46.227,,,0.026
260225 MoS2 #2 Z1-2_PL.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #2 Z1-2_PL.txt,260225,MoS2,2,Z1,2,PL,1,,260225 MoS2 #2,,,,,,,,,,,,,,,,,,1.826,678.915,117.556,183.667,,,,,,,,,,,
260225 MoS2 #2 Z1-2_Raman.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #2 Z1-2_Raman.txt,260225,MoS2,2,Z1,2,Raman,1,,260225 MoS2 #2,,,,,,,518.851,1.849,,,,,,,,,,,,,,,,,,411.476,413.324,2.072,11.151,,,0.007
260225 MoS2 #2 Z2-1_PL.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #2 Z2-1_PL.txt,260225,MoS2,2,Z2,1,PL,1,,260225 MoS2 #2,,,,,,,,,,,,,,,,,,1.931,641.944,15877.09,76.196,,,,,,,,,,,
260225 MoS2 #2 Z2-1_Raman.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #2 Z2-1_Raman.txt,260225,MoS2,2,Z2,1,Raman,1,,260225 MoS2 #2,,,,,,,518.652,2.048,,,,,,,,,,,,,,383.886,385.934,4.809,53.538,403.24,405.288,5.379,166.762,19.354,1L,0.164
260225 MoS2 #2 Z2-2_PL.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #2 Z2-2_PL.txt,260225,MoS2,2,Z2,2,PL,1,,260225 MoS2 #2,,,,,,,,,,,,,,,,,,1.932,641.757,14831.156,78.981,,,,,,,,,,,
260225 MoS2 #2 Z2-2_Raman.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #2 Z2-2_Raman.txt,260225,MoS2,2,Z2,2,Raman,1,,260225 MoS2 #2,,,,,,,518.661,2.039,,,,,,,,,,,,,,383.803,385.842,8.043,59.986,403.677,405.715,7.141,194.348,19.873,1-2L,0.224
260225 MoS2 #2 Z3-1_PL.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #2 Z3-1_PL.txt,260225,MoS2,2,Z3,1,PL,1,,260225 MoS2 #2,,,,,,,,,,,,,,,,,,1.911,648.936,21020.047,88.405,,,,,,,,,,,
260225 MoS2 #2 Z3-1_Raman.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #2 Z3-1_Raman.txt,260225,MoS2,2,Z3,1,Raman,1,,260225 MoS2 #2,,,,,,,518.617,2.083,,,,,,,,,,,,,,382.782,384.865,6.068,82.989,403.425,405.508,6.723,250.542,20.643,1-2L,0.292
260225 MoS2 #2 Z3-2_PL.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #2 Z3-2_PL.txt,260225,MoS2,2,Z3,2,PL,1,,260225 MoS2 #2,,,,,,,,,,,,,,,,,,1.909,649.318,23570.546,85.115,,,,,,,,,,,
260225 MoS2 #2 Z3-2_Raman.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #2 Z3-2_Raman.txt,260225,MoS2,2,Z3,2,Raman,1,,260225 MoS2 #2,,,,,,,518.869,1.831,,,,,,,,,,,,,,382.04,383.87,6.398,190.727,404.323,406.154,8.172,525.342,22.284,2-3L,0.49
260226 MoS2 #1 Z2-1_PL.txt,260226 [MoS2],260226 [MoS2]\260226 MoS2 #1 Z2-1_PL.txt,260226,MoS2,1,Z2,1,PL,1,,260226 MoS2 #1,,,,,,,,,,,,,,,,,,1.932,641.757,39103.545,77.943,,,,,,,,,,,
260226 MoS2 #1 Z2-1_Raman (20.57).txt,260226 [MoS2],260226 [MoS2]\260226 MoS2 #1 Z2-1_Raman (20.57).txt,260226,MoS2,1,Z2,1,Raman,1,20.57,260226 MoS2 #1,,,,,delta=20.57,-0.847,521.042,-0.342,,,,,,,,,,,,,,386.165,385.823,7.835,93.256,405.888,405.546,6.999,257.853,19.723,1-2L,0.194
260226 MoS2 #1 Z2-2_PL.txt,260226 [MoS2],260226 [MoS2]\260226 MoS2 #1 Z2-2_PL.txt,260226,MoS2,1,Z2,2,PL,1,,260226 MoS2 #1,,,,,,,,,,,,,,,,,,1.931,641.944,56294.396,77.56,,,,,,,,,,,
260226 MoS2 #1 Z2-2_Raman (18.86).txt,260226 [MoS2],260226 [MoS2]\260226 MoS2 #1 Z2-2_Raman (18.86).txt,260226,MoS2,1,Z2,2,Raman,1,18.86,260226 MoS2 #1,,,,,delta=18.86,0.723,520.434,0.266,,,,,,,,,,,,,,385.557,385.823,7.896,100.833,405.14,405.406,7.001,301.433,19.583,1-2L,0.216
260226 MoS2 #1 Z3-1_PL.txt,260226 [MoS2],260226 [MoS2]\260226 MoS2 #1 Z3-1_PL.txt,260226,MoS2,1,Z3,1,PL,1,,260226 MoS2 #1,,,,,,,,,,,,,,,,,,1.931,642.131,43837.674,79.957,,,,,,,,,,,
260226 MoS2 #1 Z3-1_Raman (23.14).txt,260226 [MoS2],260226 [MoS2]\260226 MoS2 #1 Z3-1_Raman (23.14).txt,260226,MoS2,1,Z3,1,Raman,1,23.14,260226 MoS2 #1,,,,,delta=23.14,-0.531,520.615,0.085,,,,,,,,,,,,,,384.329,384.414,7.773,191.36,406.938,407.023,7.935,544.37,22.609,2-3L,0.825
260226 MoS2 #2 Z1-1_PL.txt,260226 [MoS2],260226 [MoS2]\260226 MoS2 #2 Z1-1_PL.txt,260226,MoS2,2,Z1,1,PL,1,,260226 MoS2 #2,,,,,,,,,,,,,,,,,,1.933,641.384,231.97,103.787,,,,,,,,,,,
260226 MoS2 #2 Z1-1_Raman (x).txt,260226 [MoS2],260226 [MoS2]\260226 MoS2 #2 Z1-1_Raman (x).txt,260226,MoS2,2,Z1,1,Raman,1,x,260226 MoS2 #2,,,,,no-peak,,520.601,0.099,,,,,,,,,,,,,,383.639,383.739,7.486,8.755,406.581,406.68,7.178,11.052,22.942,2-3L,0.007
260226 MoS2 #2 Z1-2_PL.txt,260226 [MoS2],260226 [MoS2]\260226 MoS2 #2 Z1-2_PL.txt,260226,MoS2,2,Z1,2,PL,1,,260226 MoS2 #2,,,,,,,,,,,,,,,,,,1.93,642.505,907.914,83.544,,,,,,,,,,,
260226 MoS2 #2 Z1-2_Raman (x).txt,260226 [MoS2],260226 [MoS2]\260226 MoS2 #2 Z1-2_Raman (x).txt,260226,MoS2,2,Z1,2,Raman,1,x,260226 MoS2 #2,,,,,no-peak,,520.228,0.472,,,,,,,,,,,,,,384.361,384.832,6.954,13.058,405.332,405.803,8.062,43.138,20.971,1-2L,0.027
