52.6382	48
53.8664	68
55.0966	118
56.3244	144
57.5542	194
58.7839	234
60.0113	292
61.2385	306
62.4677	286
63.6946	320
64.9234	318
66.15	290
67.3764	286
68.6026	306
69.8308	306
71.0568	300
72.2825	312
73.5081	324
74.7336	314
75.961	360
77.1861	336
78.411	350
79.6358	336
80.8605	362
82.0849	334
83.3093	334
84.5334	334
85.7574	342
86.9791	354
88.2028	324
89.4263	308
90.6497	308
91.8728	304
93.0937	302
94.3166	310
95.5393	314
96.7598	310
97.9822	318
99.2044	328
100.424	286
101.646	300
102.866	294
104.087	286
105.307	310
106.528	322
107.747	310
108.968	316
110.187	324
111.405	312
112.624	280
113.844	316
115.062	320
116.28	306
117.497	328
118.717	320
119.935	336
121.152	348
122.369	332
123.586	322
124.803	326
126.019	340
127.236	354
128.452	344
129.668	336
130.884	328
132.1	336
133.313	300
134.529	334
135.744	340
136.959	364
138.174	336
139.387	346
140.602	370
141.816	366
143.029	362
144.243	352
145.455	412
146.669	390
147.88	396
149.094	376
150.305	390
151.519	376
152.73	376
153.94	412
155.153	382
156.364	390
157.574	380
158.786	402
159.997	394
161.206	392
162.416	392
163.626	388
164.835	398
166.047	388
167.256	394
168.465	396
169.673	372
170.882	394
172.091	400
173.299	402
174.505	400
175.713	416
176.921	390
178.129	426
179.336	436
180.541	444
181.749	454
182.956	488
184.163	432
185.367	446
186.574	436
187.778	426
188.985	436
190.189	452
191.395	446
192.598	482
193.804	460
195.007	422
196.213	428
197.416	416
198.619	408
199.824	424
201.026	430
202.229	408
203.431	422
204.635	410
205.837	424
207.039	420
208.241	432
209.442	408
210.644	430
211.845	466
213.046	438
214.247	468
215.448	454
216.648	476
217.849	444
219.049	476
220.247	446
221.447	468
222.647	466
223.847	496
225.044	526
226.243	504
227.443	548
228.64	546
229.838	546
231.037	520
232.234	542
233.432	538
234.628	504
235.826	514
237.022	464
238.218	480
239.416	436
240.611	430
241.806	438
243.004	422
244.199	400
245.393	418
246.588	386
247.782	380
248.979	416
250.173	412
251.367	414
252.561	408
253.755	414
254.948	388
256.142	404
257.335	426
258.528	394
259.719	388
260.912	420
262.104	424
263.297	390
264.489	410
265.679	424
266.871	420
268.063	436
269.253	430
270.444	408
271.636	424
272.825	424
274.016	394
275.205	442
276.396	428
277.584	414
278.775	444
279.963	438
281.151	456
282.341	414
283.529	424
284.717	432
285.904	456
287.093	462
288.281	450
289.468	486
290.655	456
291.841	480
293.028	450
294.214	480
295.401	494
296.587	492
297.773	454
298.958	466
300.144	474
301.33	476
302.515	524
303.698	518
304.883	522
306.068	532
307.253	548
308.435	546
309.62	522
310.804	530
311.986	546
313.17	506
314.352	526
315.536	492
316.717	512
317.9	454
319.082	488
320.263	502
321.445	458
322.626	444
323.807	470
324.989	468
326.169	498
327.35	460
328.529	468
329.709	482
330.891	486
332.07	492
333.25	468
334.429	452
335.608	504
336.787	494
337.966	500
339.144	486
340.321	488
341.499	498
342.677	490
343.855	518
345.033	496
346.208	498
347.386	528
348.563	522
349.739	570
350.916	552
352.093	538
353.267	572
354.444	542
355.618	570
356.795	560
357.969	570
359.143	548
360.319	554
361.492	568
362.666	606
363.841	582
365.014	586
366.187	656
367.36	608
368.535	620
369.708	658
370.88	676
372.053	694
373.225	718
374.397	766
375.569	730
376.74	768
377.912	822
379.083	874
380.255	924
381.424	960
382.595	1054
383.766	1130
384.936	1362
386.105	1510
387.275	1660
388.445	1678
389.613	1654
390.783	1388
391.951	1246
393.121	1036
394.29	892
395.457	746
396.624	712
397.793	748
398.96	760
400.129	834
401.296	952
402.462	1088
403.628	1480
404.796	1926
405.962	2470
407.128	2934
408.294	3108
409.459	3034
410.625	2922
411.79	2402
412.955	1992
414.12	1522
415.285	1204
416.449	1088
417.614	952
418.778	868
419.942	836
421.106	816
422.268	746
423.432	778
424.595	686
425.757	706
426.92	710
428.083	724
429.244	672
430.407	670
431.567	692
432.73	680
433.89	730
435.053	690
436.213	666
437.372	728
438.534	684
439.694	736
440.853	734
442.015	742
443.174	744
444.333	782
445.492	790
446.651	788
447.809	786
448.968	826
450.126	856
451.284	884
452.442	932
453.6	904
454.758	964
455.915	994
457.073	1008
458.23	982
459.387	972
460.542	1000
461.699	900
462.855	946
464.01	922
465.166	922
466.323	878
467.477	888
468.633	856
469.786	828
470.942	828
472.095	776
473.249	756
474.404	690
475.557	698
476.71	644
477.865	592
479.017	554
480.17	518
481.322	542
482.476	494
483.628	526
484.78	514
485.932	462
487.083	540
488.235	502
489.386	504
490.537	540
491.688	526
492.839	518
493.988	522
495.138	530
496.289	536
497.439	530
498.587	514
499.737	504
500.887	544
502.035	572
503.184	548
504.334	596
505.481	588
506.63	592
507.777	626
508.924	686
510.073	724
511.219	746
512.367	834
513.514	882
514.66	1094
515.806	1312
516.953	1776
518.099	2672
519.245	4580
520.39	6868
521.535	9168
522.68	10740
523.825	11518
524.97	10704
526.115	9208
527.259	6852
528.404	4568
529.548	2794
530.692	1828
531.834	1388
532.977	1084
534.121	974
535.265	868
536.406	776
537.549	762
538.692	704
539.833	674
540.976	652
542.116	632
543.259	618
544.399	616
545.539	590
546.681	566
547.821	618
548.963	542
