52.6382	54
53.8664	74
55.0966	130
56.3244	180
57.5542	264
58.7839	294
60.0113	340
61.2385	366
62.4677	364
63.6946	388
64.9234	364
66.15	366
67.3764	388
68.6026	378
69.8308	380
71.0568	342
72.2825	404
73.5081	402
74.7336	402
75.961	382
77.1861	408
78.411	428
79.6358	404
80.8605	408
82.0849	420
83.3093	386
84.5334	410
85.7574	400
86.9791	384
88.2028	356
89.4263	348
90.6497	378
91.8728	372
93.0937	362
94.3166	342
95.5393	408
96.7598	372
97.9822	360
99.2044	374
100.424	372
101.646	394
102.866	368
104.087	358
105.307	362
106.528	358
107.747	364
108.968	364
110.187	366
111.405	386
112.624	346
113.844	352
115.062	372
116.28	368
117.497	358
118.717	366
119.935	388
121.152	406
122.369	362
123.586	384
124.803	380
126.019	390
127.236	440
128.452	394
129.668	376
130.884	390
132.1	382
133.313	422
134.529	392
135.744	408
136.959	416
138.174	414
139.387	430
140.602	386
141.816	446
143.029	428
144.243	432
145.455	446
146.669	482
147.88	508
149.094	466
150.305	500
151.519	494
152.73	494
153.94	476
155.153	506
156.364	478
157.574	480
158.786	528
159.997	480
161.206	488
162.416	472
163.626	496
164.835	476
166.047	476
167.256	482
168.465	514
169.673	488
170.882	520
172.091	526
173.299	528
174.505	538
175.713	580
176.921	614
178.129	620
179.336	606
180.541	588
181.749	606
182.956	580
184.163	630
185.367	568
186.574	560
187.778	542
188.985	552
190.189	554
191.395	558
192.598	580
193.804	540
195.007	554
196.213	570
197.416	554
198.619	574
199.824	566
201.026	566
202.229	586
203.431	498
204.635	564
205.837	564
207.039	530
208.241	556
209.442	542
210.644	608
211.845	590
213.046	586
214.247	610
215.448	592
216.648	616
217.849	594
219.049	600
220.247	624
221.447	642
222.647	614
223.847	608
225.044	640
226.243	672
227.443	650
228.64	674
229.838	684
231.037	724
232.234	664
233.432	668
234.628	664
235.826	638
237.022	590
238.218	590
239.416	554
240.611	552
241.806	512
243.004	494
244.199	534
245.393	472
246.588	496
247.782	484
248.979	468
250.173	484
251.367	474
252.561	482
253.755	448
254.948	476
256.142	464
257.335	460
258.528	430
259.719	482
260.912	482
262.104	474
263.297	484
264.489	468
265.679	472
266.871	484
268.063	490
269.253	460
270.444	484
271.636	492
272.825	498
274.016	494
275.205	478
276.396	488
277.584	522
278.775	490
279.963	482
281.151	482
282.341	502
283.529	534
284.717	498
285.904	540
287.093	530
288.281	520
289.468	566
290.655	528
291.841	558
293.028	544
294.214	578
295.401	586
296.587	618
297.773	598
298.958	606
300.144	668
301.33	650
302.515	620
303.698	600
304.883	618
306.068	646
307.253	612
308.435	638
309.62	618
310.804	628
311.986	606
313.17	648
314.352	624
315.536	620
316.717	652
317.9	664
319.082	656
320.263	712
321.445	708
322.626	748
323.807	748
324.989	756
326.169	754
327.35	752
328.529	730
329.709	756
330.891	666
332.07	708
333.25	738
334.429	744
335.608	720
336.787	756
337.966	734
339.144	746
340.321	822
341.499	818
342.677	808
343.855	916
345.033	1006
346.208	1010
347.386	1086
348.563	1152
349.739	1264
350.916	1362
352.093	1478
353.267	1510
354.444	1504
355.618	1486
356.795	1408
357.969	1394
359.143	1272
360.319	1130
361.492	1044
362.666	938
363.841	868
365.014	834
366.187	802
367.36	754
368.535	814
369.708	792
370.88	830
372.053	834
373.225	878
374.397	884
375.569	932
376.74	1004
377.912	1016
379.083	1060
380.255	1106
381.424	1170
382.595	1180
383.766	1376
384.936	1522
386.105	1724
387.275	1732
388.445	1836
389.613	1716
390.783	1542
391.951	1370
393.121	1148
394.29	1034
395.457	946
396.624	934
397.793	908
398.96	922
400.129	988
401.296	1054
402.462	1242
403.628	1556
404.796	1996
405.962	2506
407.128	2996
408.294	3282
409.459	3372
410.625	3374
411.79	2848
412.955	2450
414.12	2054
415.285	1748
416.449	1542
417.614	1514
418.778	1468
419.942	1462
421.106	1412
422.268	1342
423.432	1150
424.595	1050
425.757	998
426.92	880
428.083	862
429.244	820
430.407	820
431.567	814
432.73	788
433.89	782
435.053	812
436.213	808
437.372	796
438.534	822
439.694	814
440.853	832
442.015	832
443.174	842
444.333	884
445.492	914
446.651	878
447.809	906
448.968	876
450.126	932
451.284	964
452.442	964
453.6	1018
454.758	976
455.915	1048
457.073	1016
458.23	1046
459.387	1026
460.542	1032
461.699	988
462.855	988
464.01	1032
465.166	956
466.323	922
467.477	950
468.633	904
469.786	914
470.942	852
472.095	848
473.249	812
474.404	796
475.557	720
476.71	672
477.865	662
479.017	626
480.17	620
481.322	576
482.476	558
483.628	550
484.78	568
485.932	562
487.083	538
488.235	546
489.386	586
490.537	540
491.688	566
492.839	580
493.988	546
495.138	558
496.289	572
497.439	584
498.587	584
499.737	580
500.887	568
502.035	572
503.184	572
504.334	602
505.481	618
506.63	634
507.777	636
508.924	644
510.073	708
511.219	736
512.367	786
513.514	834
514.66	988
515.806	1122
516.953	1506
518.099	2190
519.245	3516
520.39	5040
521.535	6652
522.68	7656
523.825	8160
524.97	7530
526.115	6170
527.259	4580
528.404	3118
529.548	1986
530.692	1388
531.834	1120
532.977	1008
534.121	896
535.265	832
536.406	758
537.549	714
538.692	716
539.833	698
540.976	688
542.116	648
543.259	658
544.399	664
545.539	622
546.681	630
547.821	634
548.963	636
